feature,importance
num__SV7_mean,0.05661103533654864
num__SV3_median,0.049271355243228294
num__SV7_median,0.047000539135973164
num__SV3_mean,0.0441965481790936
num__SV1_mean,0.03799344516906366
num__SV3_max,0.037055982223764536
num__SV3_min,0.03705144167696618
num__SV1_median,0.03284469468475487
num__SV2_mean,0.031702471638050254
num__SV2_min,0.03133238000655015
num__SV1_max,0.030946428015385448
num__SV7_min,0.029955993820844976
num__SV1_min,0.02744135964156259
num__SV4_mean,0.026491509827306654
num__SV2_median,0.026373320343289507
num__SV2_range,0.026301680209053376
cat__ICD_CATEGORY_Nervous system,0.026227752554837967
num__SV7_range,0.02602502299200323
num__SV1_range,0.025278317221456046
num__SV4_median,0.02482489296599276
num__SV2_max,0.02429442293299849
num__SV6_mean,0.02280565083616132
num__SV4_max,0.02207673710207293
num__SV4_min,0.021841096836906968
num__SV3_range,0.020806947557221546
num__SV6_min,0.019638434645591608
num__SV4_range,0.019142635529209643
num__SV6_max,0.017722441532406565
num__SV6_median,0.017433274532605868
num__SV7_max,0.014523503850626366
cat__ICD_CATEGORY_Digestive,0.013024995450073754
num__SV6_range,0.012092799353566577
num__SV5_min,0.011610519050358854
num__SV5_mean,0.011427676329739456
num__SV5_median,0.01083119558254936
cat__ICD_CATEGORY_Congenital,0.010272592182399804
num__SV5_max,0.009061214567559962
num__SV5_range,0.008559019993670224
cat__ICD_CATEGORY_Perinatal,0.007099800890957356
cat__ICD_CATEGORY_Other,0.00460524752488415
cat__ICD_CATEGORY_Injury,0.004507082030254382
cat__ICD_CATEGORY_Circulatory,0.0036922612832845456
cat__ICD_CATEGORY_Respiratory,0.0036322443429146673
cat__ICD_CATEGORY_Symptoms,0.0031294099400092485
num__HB_MEAN,0.0028328117490533946
cat__ICD_CATEGORY_Blood/Immune,0.0022073265579189024
num__HB_MIN,0.002162979854983636
num__HB_MAX,0.0020923251872302156
num__PAIN_SCORE,0.0011820402513791546
cat__ICD_CATEGORY_Genitourinary,0.000248875137286855
cat__ICD_CATEGORY_Endocrine/Metabolic,0.00016317091436821203
cat__ICD_CATEGORY_Infectious,7.752294011868283e-05
cat__ICD_CATEGORY_Neoplasms,6.661280277092244e-05
cat__ICD_CATEGORY_Eye/Ear,6.138827207843544e-05
cat__ICD_CATEGORY_Skin,4.581217258121762e-05
cat__ICD_CATEGORY_External cause,3.863661713012219e-05
num__SEVERE_ANEMIA,2.5996023816638193e-05
cat__ICD_CATEGORY_Musculoskeletal,1.4871132401382408e-05
cat__ICD_CATEGORY_Unknown,9.208472948592799e-06
num__ANEMIA_FLAG,7.301182930786157e-06
num__HIGH_PAIN,5.745967253347514e-06
cat__ICD_CATEGORY_Mental,4.843475433658378e-19
